url,html,tag_name,attributes,inner_text,is_visible,bounding_box,selector,suggested_action
https://www.automationexercise.com/login,"<a href=""/""><img src=""/static/images/home/logo.png"" alt=""Website for automation practice""></a>",a,{'href': '/'},,True,"{'x': 61.818180084228516, 'y': 56.065338134765625, 'width': 262.9971580505371, 'height': 17.272727966308594}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > a:nth-child(1),click
https://www.automationexercise.com/login,"<a href=""/""><i class=""fa fa-home""></i> Home</a>",a,{'href': '/'}, Home,True,"{'x': 471.81817626953125, 'y': 29.999998092651367, 'width': 56.73297119140625, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(1) > a:nth-child(1),click
https://www.automationexercise.com/login,"<a href=""/products""><i class=""material-icons card_travel"" style=""font-size: 16px;""></i> Products</a>",a,{'href': '/products'}, Products,True,"{'x': 558.5510864257812, 'y': 29.999998092651367, 'width': 78.11083984375, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(2) > a:nth-child(1),click
https://www.automationexercise.com/login,"<a href=""/view_cart""><i class=""fa fa-shopping-cart""></i> Cart</a>",a,{'href': '/view_cart'}, Cart,True,"{'x': 666.6619262695312, 'y': 29.999998092651367, 'width': 45.553955078125, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(3) > a:nth-child(1),click
https://www.automationexercise.com/login,"<a href=""/login"" style=""color: orange;""><i class=""fa fa-lock""></i> Signup / Login</a>",a,"{'href': '/login', 'style': 'color: orange;'}", Signup / Login,True,"{'x': 742.2158813476562, 'y': 29.999998092651367, 'width': 104.4886474609375, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(4) > a:nth-child(1),click
https://www.automationexercise.com/login,"<a href=""/test_cases""><i class=""fa fa-list""></i> Test Cases</a>",a,{'href': '/test_cases'}, Test Cases,True,"{'x': 876.7045288085938, 'y': 29.999998092651367, 'width': 88.3948974609375, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(5) > a:nth-child(1),click
https://www.automationexercise.com/login,"<a href=""/api_list""><i class=""fa fa-list""></i> API Testing</a>",a,{'href': '/api_list'}, API Testing,True,"{'x': 995.0994262695312, 'y': 29.999998092651367, 'width': 90.38348388671875, 'height': 20.000001907348633}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(6) > a:nth-child(1),click
https://www.automationexercise.com/login,"<a href=""https://www.youtube.com/c/AutomationExercise""><i class=""fa fa-youtube-play""></i> Video Tutorials</a>",a,{'href': 'https://www.youtube.com/c/AutomationExercise'}, Video Tutorials,True,"{'x': 471.81817626953125, 'y': 59.999996185302734, 'width': 111.94598388671875, 'height': 20.000003814697266}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(7) > a:nth-child(1),click
https://www.automationexercise.com/login,"<a href=""/contact_us""><i class=""fa fa-envelope""></i> Contact us</a>",a,{'href': '/contact_us'}, Contact us,True,"{'x': 613.76416015625, 'y': 59.999996185302734, 'width': 87.3721923828125, 'height': 20.000003814697266}",#header > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > ul:nth-child(1) > li:nth-child(8) > a:nth-child(1),click
https://www.automationexercise.com/login,"<a id=""scrollUp"" href=""#top"" style=""display: none; position: fixed; z-index: 2147483647;""><i class=""fa fa-angle-up""></i></a>",a,"{'id': 'scrollUp', 'href': '#top', 'style': 'display: none; position: fixed; z-index: 2147483647;'}",,False,,#scrollUp,click
