url,original_tag,normalized_tag,semantic_role,element_type,is_interactive,is_visible,has_text,inner_text,selector,attributes
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div > div > a > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/1.webp', 'alt': 'Cover for Corktown', 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div > div > a:nth-of-type(2) > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/2.webp', 'alt': 'Cover for FROZEN COLORS OF WINTER - Germany', 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div > div > a:nth-of-type(3) > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/3.webp', 'alt': ""Cover for 'Handmade' Greyscalegorilla Plus"", 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div > div > a:nth-of-type(4) > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/4.webp', 'alt': 'Cover for Various Illustrations 2023 — 2024.', 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div > div > a:nth-of-type(5) > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/5.webp', 'alt': 'Cover for Pizzeria Alberico', 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div > div > a:nth-of-type(6) > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/6.webp', 'alt': 'Cover for La Deseada', 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div:nth-of-type(3) > div > a > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/7.webp', 'alt': 'Cover for Just My Type', 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div:nth-of-type(3) > div > a:nth-of-type(2) > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/8.webp', 'alt': 'Cover for Chile, from Atacama to Patagonia', 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div:nth-of-type(3) > div > a:nth-of-type(3) > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/9.webp', 'alt': 'Cover for WELCOME TO MY WORLD', 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div:nth-of-type(3) > div > a:nth-of-type(4) > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/10.webp', 'alt': 'Cover for Free Illustration Vol.1', 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,False,False,,div#site-content > div > div > div > div > div:nth-of-type(3) > div > a:nth-of-type(5) > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/creator_pro/page_banner/11.webp', 'alt': 'Cover for Etape 2030 de la transition écologique', 'class': 'CreatorProPageBanner-image-ny6'}"
https://www.behance.net/,img,img,media,media,False,True,False,,div#site-content > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div > div > div > div > div > div > div > picture > img,"{'sizes': '404px', 'src': 'https://mir-s3-cdn-cf.behance.net/projects/404/bab481215814647.Y3JvcCwxNDAwLDEwOTUsMCw3OQ.png', 'class': 'ProjectCoverNeue-image-TFB js-cover-image ProjectCoverNeue-imageHoverOverlay-m1P', 'alt': 'Illustration Collection XIII', 'loading': 'lazy', 'style': ''}"
https://www.behance.net/,img,img,media,media,False,True,False,,div#site-content > div > div:nth-of-type(2) > div:nth-of-type(2) > div:nth-of-type(2) > div > div > div:nth-of-type(2) > div > div > div > div > div > div > div > div:nth-of-type(2) > div > div > a > img,"{'src': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/galleries/icons/ribbons/1x/network.png?cb=264615658', 'alt': 'Behance.net', 'srcset': 'https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/galleries/icons/ribbons/1x/network.png?cb=264615658, https://a5.behance.net/53929478c5ef5b62fce326debf97d272afb4190e/img/galleries/icons/ribbons/2x/network@2x.png?cb=264615658 2x', 'title': 'Behance.net', 'loading': 'lazy', 'class': 'rf-ribbon__image Feature-ribbonImage-Ung Feature-ribbonImageDelay-dtZ', 'data-transition-delay-index': '0'}"
